game_id,event1,event2,event3,event4,event5,first_blood,blue_dragon,blue_tower_bot,blue_others,blue_adc_gp,blue_adc_wr,blue_adc_kda,red_dragon,red_tower_bot,red_others,red_adc_gp,red_adc_wr,red_adc_kda,winner
36864,first_blood,dragon,other,dragon,other,RED,2,0,2,0,0.0,0.0,0,0,0,0,0.0,0.0,BLUE
36865,first_blood,other,dragon,other,other,RED,1,0,0,1,1.0,0.67,0,0,3,10,0.4,4.07,RED
36866,first_blood,other,dragon,tower_bot,other,RED,0,0,2,2,0.5,2.8,1,1,0,0,0.0,0.0,RED
36867,dragon,first_blood,other,dragon,other,BLUE,0,0,0,2,0.5,1.5,2,0,2,5,0.6,9.12,RED
36868,first_blood,dragon,other,dragon,other,RED,2,0,2,0,0.0,0.0,0,0,0,2,0.0,24.0,RED
36887,dragon,other,first_blood,dragon,tower_bot,RED,1,0,1,1,1.0,9.0,1,1,0,0,0.0,0.0,RED
36888,dragon,other,first_blood,other,dragon,BLUE,1,0,1,2,0.5,3.0,1,0,1,2,0.0,5.67,BLUE
36889,first_blood,dragon,other,tower_bot,dragon,RED,2,1,1,3,0.67,6.67,0,0,0,1,0.0,0.4,BLUE
36890,dragon,first_blood,other,dragon,other,RED,2,0,1,0,0.0,0.0,0,0,1,2,0.5,0.56,RED
36891,dragon,first_blood,other,dragon,other,RED,2,0,0,0,0.0,0.0,0,0,2,0,0.0,0.0,RED
36893,first_blood,other,dragon,other,other,RED,0,0,1,2,0.0,12.5,1,0,2,0,0.0,0.0,RED
36894,first_blood,dragon,other,dragon,tower_bot,BLUE,1,1,1,1,0.0,3.5,1,0,0,1,0.0,12.0,BLUE
36895,first_blood,dragon,other,dragon,other,BLUE,1,0,2,3,0.67,2.5,1,0,0,0,0.0,0.0,RED
36896,first_blood,dragon,other,dragon,other,BLUE,1,0,2,0,0.0,0.0,1,0,0,4,1.0,4.58,RED
36897,other,first_blood,dragon,other,other,RED,1,0,0,1,0.0,0.89,0,0,3,1,0.0,7.0,RED
36898,first_blood,dragon,other,other,dragon,BLUE,1,0,2,8,0.38,5.31,1,0,0,4,0.25,8.0,BLUE
36899,dragon,first_blood,other,tower_bot,dragon,RED,1,1,1,2,0.0,5.75,1,0,0,0,0.0,0.0,BLUE
36900,first_blood,dragon,other,tower_bot,dragon,RED,0,0,0,0,0.0,0.0,2,1,1,2,0.0,2.14,RED
36901,first_blood,dragon,other,dragon,other,RED,0,0,2,0,0.0,0.0,2,0,0,1,0.0,3.0,BLUE
36902,first_blood,dragon,other,dragon,other,RED,0,0,2,0,0.0,0.0,2,0,0,4,0.5,2.46,RED
36903,first_blood,dragon,other,dragon,other,BLUE,2,0,2,3,0.0,15.67,0,0,0,3,0.67,10.5,BLUE
36904,first_blood,dragon,other,dragon,other,RED,2,0,1,2,0.0,9.33,0,0,1,5,0.4,5.67,BLUE
36905,first_blood,dragon,other,dragon,other,RED,1,0,0,0,0.0,0.0,1,0,2,4,0.5,2.45,RED
36906,first_blood,other,dragon,tower_bot,dragon,BLUE,0,0,1,0,0.0,0.0,2,1,0,1,1.0,2.75,RED
36907,first_blood,other,dragon,other,dragon,RED,2,0,0,0,0.0,0.0,0,0,2,3,0.33,25.5,RED
36908,first_blood,dragon,other,dragon,tower_bot,BLUE,1,0,1,0,0.0,0.0,1,1,0,1,1.0,12.0,RED
36909,first_blood,dragon,other,dragon,other,RED,1,0,1,0,0.0,0.0,1,0,1,2,1.0,2.5,RED
36910,dragon,other,first_blood,dragon,tower_bot,RED,2,0,1,0,0.0,0.0,0,1,0,1,1.0,3.0,BLUE
36911,first_blood,other,dragon,other,dragon,RED,1,0,2,2,1.0,11.0,1,0,0,4,0.5,4.22,RED
36912,dragon,other,other,dragon,tower_bot,no first blood,2,1,0,0,0.0,0.0,0,0,2,0,0.0,0.0,BLUE
36923,first_blood,other,dragon,tower_bot,other,BLUE,1,1,1,6,0.67,5.58,0,0,1,3,0.33,4.0,BLUE
36924,first_blood,dragon,other,other,other,RED,1,0,0,1,1.0,6.5,0,0,3,0,0.0,0.0,RED
36925,first_blood,other,dragon,dragon,other,BLUE,0,0,2,3,0.33,5.17,2,0,0,0,0.0,0.0,RED
36926,first_blood,other,dragon,other,other,RED,0,0,0,5,0.2,2.11,1,0,3,0,0.0,0.0,RED
36927,first_blood,dragon,other,dragon,tower_bot,BLUE,0,0,0,1,0.0,0.0,2,1,1,2,0.5,11.67,RED
36928,first_blood,dragon,other,dragon,other,BLUE,1,0,0,0,0.0,0.0,1,0,2,2,0.0,1.75,BLUE
36929,first_blood,dragon,other,dragon,other,BLUE,2,0,0,2,0.5,9.67,0,0,2,0,0.0,0.0,BLUE
36930,dragon,other,first_blood,dragon,other,BLUE,0,0,2,0,0.0,0.0,2,0,0,2,0.5,3.0,RED
36931,first_blood,dragon,other,tower_bot,dragon,BLUE,2,1,0,4,0.0,14.5,0,0,1,0,0.0,0.0,RED
36932,first_blood,other,dragon,tower_bot,dragon,RED,1,1,1,0,0.0,0.0,1,0,0,2,0.5,1.67,BLUE
36933,first_blood,other,dragon,other,tower_bot,BLUE,0,0,0,0,0.0,0.0,1,1,2,2,0.5,31.0,RED
36934,first_blood,dragon,other,dragon,tower_bot,BLUE,0,1,1,0,0.0,0.0,2,0,0,4,0.0,9.4,BLUE
36935,first_blood,dragon,other,dragon,tower_bot,BLUE,1,1,1,1,0.0,4.0,1,0,0,1,0.0,4.0,BLUE
36936,first_blood,dragon,other,dragon,other,RED,0,0,2,1,1.0,3.0,2,0,0,2,0.5,4.33,RED
36937,first_blood,other,dragon,other,tower_bot,RED,1,0,0,0,0.0,0.0,0,1,2,2,1.0,11.0,RED
36938,dragon,other,first_blood,tower_bot,dragon,BLUE,2,0,0,1,0.0,7.0,0,1,1,0,0.0,0.0,BLUE
36940,dragon,other,dragon,first_blood,other,BLUE,2,0,2,5,0.4,2.31,0,0,0,3,0.67,1.55,BLUE
36941,dragon,other,first_blood,tower_bot,dragon,BLUE,0,0,0,0,0.0,0.0,2,1,1,0,0.0,0.0,RED
36942,dragon,first_blood,other,dragon,tower_bot,BLUE,2,1,0,2,0.5,13.67,0,0,1,1,1.0,1.75,BLUE
36943,first_blood,other,dragon,other,other,BLUE,0,0,2,1,1.0,5.67,1,0,1,0,0.0,0.0,BLUE
36944,dragon,first_blood,other,dragon,tower_bot,BLUE,2,1,0,0,0.0,0.0,0,0,1,1,0.0,5.5,BLUE
36945,dragon,first_blood,other,dragon,other,BLUE,1,0,1,0,0.0,0.0,1,0,1,0,0.0,0.0,BLUE
36946,dragon,other,first_blood,dragon,other,RED,0,0,1,1,0.0,13.0,2,0,1,1,0.0,1.67,RED
36947,first_blood,dragon,other,other,tower_bot,BLUE,0,0,2,1,1.0,5.67,1,1,0,1,1.0,1.4,BLUE
36948,first_blood,dragon,other,dragon,other,BLUE,0,0,0,1,0.0,10.5,2,0,2,0,0.0,0.0,BLUE
36949,first_blood,dragon,other,dragon,other,RED,0,0,1,1,0.0,1.25,2,0,1,0,0.0,0.0,RED
36950,other,dragon,first_blood,tower_bot,tower_bot,BLUE,0,1,0,4,0.5,10.8,1,1,1,2,0.5,2.17,BLUE
36951,dragon,first_blood,other,dragon,other,RED,1,0,0,6,0.67,3.33,1,0,2,4,0.5,8.86,RED
36952,first_blood,dragon,other,dragon,other,RED,1,0,2,1,0.0,1.25,1,0,0,0,0.0,0.0,RED
36954,first_blood,dragon,other,dragon,tower_bot,RED,2,0,0,0,0.0,0.0,0,1,1,1,0.0,2.0,RED
36956,first_blood,other,dragon,other,other,BLUE,0,0,3,0,0.0,0.0,1,0,0,6,0.67,2.72,BLUE
36957,dragon,other,tower_bot,tower_bot,first_blood,BLUE,1,2,1,0,0.0,0.0,0,0,0,1,1.0,3.0,BLUE
36958,first_blood,dragon,other,other,other,BLUE,0,0,3,3,0.67,11.5,1,0,0,0,0.0,0.0,BLUE
36959,first_blood,other,other,dragon,other,BLUE,0,0,3,1,1.0,3.33,1,0,0,0,0.0,0.0,RED
36960,first_blood,other,dragon,other,tower_bot,BLUE,1,1,0,0,0.0,0.0,0,0,2,4,0.75,10.4,BLUE
36961,first_blood,other,dragon,other,tower_bot,RED,0,1,2,3,0.67,10.0,1,0,0,0,0.0,0.0,BLUE
36962,first_blood,other,other,dragon,tower_bot,RED,0,0,2,4,0.75,4.29,1,1,0,0,0.0,0.0,BLUE
36963,first_blood,dragon,other,other,tower_bot,BLUE,1,1,2,6,0.0,17.0,0,0,0,3,0.67,3.67,BLUE
36964,dragon,first_blood,other,dragon,other,BLUE,1,0,2,3,1.0,5.12,1,0,0,2,0.0,11.0,RED
36965,first_blood,other,dragon,other,dragon,BLUE,0,0,1,2,0.0,2.67,2,0,1,3,0.67,10.0,RED
36966,first_blood,dragon,other,dragon,tower_bot,BLUE,0,0,0,2,0.5,7.33,2,1,1,4,0.75,4.29,RED
36967,first_blood,dragon,other,dragon,tower_bot,BLUE,0,0,0,5,0.4,5.82,2,1,1,0,0.0,0.0,RED
36968,first_blood,other,other,dragon,other,RED,0,0,0,3,0.33,5.33,1,0,3,2,0.0,11.0,RED
36969,first_blood,dragon,other,dragon,other,BLUE,1,0,2,0,0.0,0.0,1,0,0,5,0.4,2.91,BLUE
37000,dragon,first_blood,other,tower_bot,dragon,RED,0,0,0,0,0.0,0.0,2,1,1,0,0.0,0.0,RED
37001,first_blood,dragon,other,dragon,other,RED,0,0,2,0,0.0,0.0,2,0,0,1,0.0,3.67,BLUE
37002,first_blood,other,dragon,other,other,RED,0,0,1,1,0.0,18.0,1,0,2,4,0.75,3.75,RED
37003,first_blood,other,dragon,other,other,RED,0,0,1,4,0.5,3.57,1,0,2,0,0.0,0.0,RED
37004,dragon,first_blood,other,dragon,tower_bot,RED,1,1,1,0,0.0,0.0,1,0,0,3,0.0,0.78,BLUE
37005,first_blood,other,dragon,tower_bot,other,BLUE,0,1,1,3,0.33,3.0,1,0,1,0,0.0,0.0,RED
37006,first_blood,other,dragon,other,other,RED,0,0,0,0,0.0,0.0,1,0,3,1,0.0,7.0,RED
37007,first_blood,dragon,other,dragon,tower_bot,BLUE,2,1,0,2,0.0,4.0,0,0,1,0,0.0,0.0,RED
37008,dragon,first_blood,other,dragon,tower_bot,RED,0,1,1,2,0.5,5.67,2,0,0,0,0.0,0.0,RED
37009,first_blood,dragon,other,other,other,BLUE,1,0,0,1,1.0,1.0,0,0,3,0,0.0,0.0,BLUE
37010,first_blood,dragon,other,dragon,other,BLUE,0,0,2,3,0.67,7.25,2,0,0,0,0.0,0.0,BLUE
37011,first_blood,dragon,other,other,dragon,BLUE,1,0,2,0,0.0,0.0,1,0,0,2,0.5,2.71,BLUE
37012,dragon,first_blood,other,dragon,tower_bot,RED,2,1,0,1,1.0,7.5,0,0,1,1,1.0,1.0,BLUE
37013,first_blood,dragon,other,dragon,tower_bot,BLUE,0,1,1,0,0.0,0.0,2,0,0,0,0.0,0.0,RED
37014,first_blood,dragon,other,dragon,tower_bot,RED,1,1,0,2,0.0,7.5,1,0,1,1,0.0,5.0,RED
37015,first_blood,other,tower_bot,other,other,BLUE,0,1,2,0,0.0,0.0,0,0,1,1,1.0,3.0,BLUE
37016,dragon,other,dragon,other,tower_bot,no first blood,2,0,2,1,0.0,1.67,0,1,0,1,1.0,4.0,RED
37017,first_blood,dragon,other,dragon,other,BLUE,0,0,1,0,0.0,0.0,2,0,1,1,1.0,9.0,BLUE
37018,first_blood,other,dragon,other,tower_bot,RED,1,0,1,2,1.0,12.0,0,1,1,0,0.0,0.0,RED
37019,first_blood,dragon,other,tower_bot,tower_bot,RED,0,0,0,1,0.0,1.5,1,2,1,2,0.5,4.67,RED
37020,first_blood,dragon,other,dragon,other,RED,1,0,0,0,0.0,0.0,1,0,2,1,1.0,2.0,RED
37021,first_blood,dragon,other,dragon,other,BLUE,2,0,0,1,1.0,15.0,0,0,2,0,0.0,0.0,BLUE
37022,dragon,first_blood,other,dragon,tower_bot,BLUE,2,1,0,1,0.0,12.0,0,0,1,2,0.5,2.33,RED
37023,other,first_blood,dragon,other,other,BLUE,1,0,2,2,0.5,4.67,0,0,1,1,1.0,4.0,RED
37024,first_blood,other,dragon,dragon,tower_bot,BLUE,2,1,0,0,0.0,0.0,0,0,1,1,1.0,2.0,BLUE
37025,first_blood,dragon,other,tower_bot,dragon,BLUE,0,1,1,0,0.0,0.0,2,0,0,3,1.0,7.5,RED
37036,first_blood,dragon,other,dragon,tower_bot,BLUE,0,0,1,6,0.83,3.25,2,1,0,5,0.4,2.86,RED
37037,dragon,other,first_blood,dragon,tower_bot,RED,0,0,1,2,0.5,3.14,2,1,0,6,0.17,12.6,RED
37038,dragon,first_blood,other,dragon,tower_bot,RED,0,0,0,2,0.5,22.0,2,1,1,3,1.0,2.43,RED
37039,first_blood,other,dragon,tower_bot,dragon,BLUE,1,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,BLUE
37040,first_blood,other,tower_bot,other,dragon,BLUE,0,1,0,0,0.0,0.0,1,0,2,1,0.0,17.0,BLUE
37041,first_blood,dragon,other,dragon,other,BLUE,1,0,2,7,0.71,3.36,1,0,0,4,0.75,3.86,RED
37042,first_blood,other,dragon,dragon,tower_bot,BLUE,2,0,1,0,0.0,0.0,0,1,0,1,1.0,1.6,BLUE
37043,first_blood,dragon,other,dragon,other,BLUE,2,0,2,0,0.0,0.0,0,0,0,2,0.5,7.0,BLUE
37044,first_blood,dragon,other,tower_bot,dragon,BLUE,2,1,0,2,0.0,7.5,0,0,1,3,0.0,4.71,RED
37045,first_blood,dragon,other,dragon,other,RED,1,0,1,4,0.25,5.86,1,0,1,1,0.0,22.0,BLUE
37046,first_blood,dragon,other,dragon,other,RED,0,0,1,1,0.0,12.0,2,0,1,2,0.5,10.0,BLUE
37047,first_blood,other,dragon,other,dragon,BLUE,1,0,2,1,1.0,13.0,1,0,0,0,0.0,0.0,BLUE
37048,first_blood,dragon,other,tower_bot,dragon,BLUE,1,1,0,4,0.25,1.64,1,0,1,2,0.0,3.0,BLUE
37049,first_blood,other,dragon,other,tower_bot,BLUE,0,1,2,1,0.0,17.0,1,0,0,0,0.0,0.0,BLUE
37050,other,tower_bot,first_blood,tower_bot,dragon,RED,0,1,1,3,0.0,9.25,1,1,0,4,0.25,2.31,RED
37051,first_blood,dragon,other,dragon,tower_bot,BLUE,2,0,0,4,0.25,1.64,0,1,1,3,0.0,9.25,BLUE
37052,first_blood,dragon,other,dragon,tower_bot,RED,0,0,1,0,0.0,0.0,2,1,0,0,0.0,0.0,RED
37053,dragon,first_blood,other,dragon,tower_bot,BLUE,2,1,1,0,0.0,0.0,0,0,0,3,0.0,9.6,RED
37054,first_blood,other,dragon,other,other,RED,1,0,2,0,0.0,0.0,0,0,1,0,0.0,0.0,BLUE
37055,first_blood,dragon,other,other,dragon,BLUE,2,0,0,1,0.0,9.0,0,0,2,1,0.0,17.0,RED
37082,first_blood,other,dragon,tower_bot,other,BLUE,1,1,2,4,0.25,18.0,0,0,0,2,0.0,3.5,BLUE
37083,first_blood,dragon,other,dragon,tower_bot,BLUE,1,1,1,3,0.0,43.0,1,0,0,1,1.0,1.0,BLUE
37084,first_blood,dragon,other,dragon,tower_bot,BLUE,2,1,0,0,0.0,0.0,0,0,1,0,0.0,0.0,BLUE
37085,first_blood,dragon,other,dragon,other,RED,2,0,1,3,0.33,5.2,0,0,1,1,1.0,15.0,RED
37086,first_blood,dragon,other,dragon,tower_bot,BLUE,0,0,0,4,0.5,13.5,2,1,1,3,0.33,4.5,BLUE
37087,first_blood,other,dragon,other,dragon,BLUE,0,0,1,0,0.0,0.0,2,0,1,1,1.0,3.5,BLUE
37088,dragon,first_blood,other,tower_bot,dragon,BLUE,1,1,1,3,0.0,30.0,1,0,0,3,0.33,5.2,RED
37089,first_blood,dragon,other,dragon,tower_bot,RED,1,1,0,6,0.83,5.1,1,0,1,0,0.0,0.0,RED
37090,first_blood,dragon,other,dragon,other,RED,0,0,1,0,0.0,0.0,2,0,1,3,0.67,11.33,BLUE
37091,first_blood,dragon,other,dragon,other,BLUE,2,0,2,2,0.0,3.5,0,0,0,4,0.25,1.6,BLUE
37092,first_blood,dragon,other,dragon,other,RED,1,0,2,1,0.0,6.5,1,0,0,2,0.5,0.57,RED
37093,first_blood,dragon,other,other,other,RED,1,0,0,0,0.0,0.0,0,0,3,1,0.0,7.0,RED
37094,first_blood,dragon,other,dragon,other,BLUE,2,0,1,1,1.0,1.33,0,0,1,2,0.5,2.62,BLUE
37095,dragon,first_blood,other,other,dragon,BLUE,2,0,2,1,0.0,3.0,0,0,0,0,0.0,0.0,BLUE
37096,first_blood,dragon,other,other,dragon,BLUE,0,0,0,0,0.0,0.0,2,0,2,0,0.0,0.0,RED
37097,dragon,first_blood,other,other,dragon,BLUE,2,0,1,2,0.5,3.2,0,0,1,1,1.0,1.5,BLUE
37098,first_blood,dragon,other,other,dragon,BLUE,1,0,2,1,1.0,6.0,1,0,0,0,0.0,0.0,BLUE
37099,first_blood,dragon,other,other,dragon,RED,0,0,2,0,0.0,0.0,2,0,0,2,0.5,6.5,RED
37100,first_blood,other,dragon,tower_bot,other,BLUE,1,1,2,3,1.0,4.75,0,0,0,0,0.0,0.0,BLUE
37101,dragon,other,first_blood,dragon,tower_bot,RED,0,0,0,0,0.0,0.0,2,1,1,1,0.0,4.0,RED
37102,dragon,first_blood,other,dragon,other,BLUE,0,0,2,5,0.8,4.29,2,0,0,3,0.33,1.71,BLUE
37103,first_blood,dragon,other,dragon,other,BLUE,1,0,2,3,0.67,6.4,1,0,0,2,0.5,3.2,BLUE
37104,first_blood,dragon,other,other,dragon,RED,1,0,2,0,0.0,0.0,1,0,0,2,1.0,7.6,RED
37105,first_blood,dragon,other,dragon,tower_bot,BLUE,2,1,1,1,0.0,1.0,0,0,0,0,0.0,0.0,BLUE
37106,first_blood,dragon,other,dragon,tower_bot,RED,1,0,0,1,0.0,5.5,1,1,1,3,0.33,8.4,RED
37107,dragon,other,other,first_blood,dragon,RED,1,0,0,1,1.0,1.67,1,0,2,3,0.67,1.13,BLUE
37109,dragon,first_blood,other,dragon,other,BLUE,1,0,0,2,0.5,4.33,1,0,2,0,0.0,0.0,BLUE
37110,first_blood,dragon,other,other,dragon,BLUE,0,0,0,1,0.0,17.0,2,0,2,1,0.0,1.0,RED
37111,first_blood,dragon,dragon,other,tower_bot,RED,1,1,0,0,0.0,0.0,1,0,1,1,0.0,7.0,BLUE
37121,dragon,first_blood,other,dragon,other,BLUE,1,0,0,1,0.0,12.0,1,0,2,3,0.0,2.62,BLUE
37122,first_blood,dragon,other,dragon,tower_bot,RED,2,0,0,1,0.0,12.0,0,1,1,0,0.0,0.0,BLUE
37124,first_blood,dragon,other,tower_bot,tower_bot,BLUE,1,2,1,0,0.0,0.0,0,0,0,1,1.0,1.0,BLUE
37125,first_blood,dragon,other,dragon,tower_bot,RED,0,0,1,3,0.0,35.0,2,1,0,2,0.5,1.29,BLUE
37126,first_blood,dragon,other,dragon,other,RED,1,0,0,3,0.33,3.6,1,0,2,5,0.6,3.18,RED
37127,dragon,first_blood,other,tower_bot,dragon,RED,0,0,1,1,0.0,10.0,2,1,0,3,0.33,5.0,RED
37128,first_blood,dragon,other,dragon,tower_bot,RED,2,1,1,0,0.0,0.0,0,0,0,3,0.33,5.0,BLUE
37129,first_blood,other,dragon,dragon,tower_bot,BLUE,0,0,1,1,0.0,7.5,2,1,0,3,0.33,8.0,RED
37130,first_blood,dragon,other,dragon,tower_bot,RED,0,0,0,0,0.0,0.0,2,1,1,3,0.0,2.45,RED
37131,first_blood,dragon,other,dragon,other,BLUE,0,0,0,2,0.0,1.45,2,0,2,1,0.0,18.0,RED
37132,first_blood,dragon,other,dragon,tower_bot,RED,1,1,0,5,0.8,6.0,1,0,1,6,0.67,2.6,RED
37133,first_blood,dragon,other,tower_bot,dragon,BLUE,2,1,1,2,0.5,1.0,0,0,0,1,1.0,9.0,RED
37134,first_blood,other,dragon,tower_bot,other,RED,0,0,1,2,0.5,2.17,1,1,1,5,0.6,4.0,BLUE
37135,first_blood,dragon,other,tower_bot,dragon,RED,0,0,0,5,0.4,3.21,2,1,1,4,0.25,8.83,RED
37136,dragon,first_blood,other,other,dragon,BLUE,1,0,2,0,0.0,0.0,1,0,0,2,0.5,20.0,BLUE
37137,first_blood,dragon,other,dragon,tower_bot,BLUE,1,0,1,3,0.67,10.0,1,1,0,3,0.0,2.15,RED
37138,first_blood,dragon,other,dragon,other,BLUE,2,0,1,1,0.0,13.0,0,0,1,0,0.0,0.0,BLUE
37139,first_blood,other,dragon,tower_bot,dragon,BLUE,2,0,0,5,0.4,3.73,0,1,1,0,0.0,0.0,BLUE
37140,first_blood,dragon,other,other,other,BLUE,1,0,3,1,1.0,7.0,0,0,0,0,0.0,0.0,BLUE
37141,first_blood,dragon,other,dragon,other,BLUE,0,0,2,0,0.0,0.0,2,0,0,2,0.5,1.5,BLUE
37142,first_blood,dragon,other,dragon,other,BLUE,0,0,1,2,0.0,0.83,2,0,1,1,0.0,3.0,RED
37143,first_blood,dragon,other,other,tower_bot,BLUE,1,0,0,1,1.0,9.5,0,1,2,0,0.0,0.0,RED
37144,first_blood,other,dragon,dragon,other,BLUE,1,0,1,0,0.0,0.0,1,0,1,0,0.0,0.0,BLUE
37145,dragon,other,first_blood,other,dragon,RED,1,0,2,1,0.0,4.67,1,0,0,5,0.4,5.89,BLUE
37156,dragon,first_blood,other,dragon,tower_bot,RED,0,1,1,4,0.5,2.78,2,0,0,3,0.67,2.92,BLUE
37157,first_blood,dragon,other,dragon,tower_bot,BLUE,1,1,1,1,0.0,2.5,1,0,0,2,0.5,1.57,RED
37158,first_blood,other,other,dragon,other,RED,0,0,3,0,0.0,0.0,1,0,0,1,1.0,1.2,RED
37159,first_blood,dragon,other,other,dragon,BLUE,1,0,2,3,0.67,3.29,1,0,0,6,0.33,2.74,BLUE
37160,first_blood,dragon,other,dragon,other,RED,2,0,1,0,0.0,0.0,0,0,1,4,0.0,3.77,RED
37161,dragon,other,first_blood,dragon,other,BLUE,2,0,2,7,0.14,13.4,0,0,0,1,1.0,16.0,BLUE
37162,first_blood,other,dragon,tower_bot,dragon,BLUE,2,1,0,1,1.0,5.0,0,0,1,2,0.5,3.0,BLUE
37163,first_blood,dragon,other,dragon,tower_bot,RED,1,0,1,2,0.5,3.33,1,1,0,1,1.0,1.12,RED
37164,dragon,first_blood,other,dragon,tower_bot,BLUE,0,0,0,0,0.0,0.0,2,1,1,4,0.25,9.6,RED
37165,first_blood,dragon,other,dragon,other,BLUE,1,0,1,6,0.67,12.57,1,0,1,3,0.33,3.38,RED
37166,first_blood,dragon,other,dragon,tower_bot,RED,1,1,1,0,0.0,0.0,1,0,0,6,0.67,7.8,BLUE
37167,dragon,first_blood,other,dragon,other,RED,1,0,0,2,0.0,5.25,1,0,2,5,0.6,5.0,RED
37168,first_blood,dragon,other,other,dragon,BLUE,0,0,0,1,1.0,7.0,2,0,2,4,0.75,3.29,BLUE
37169,first_blood,dragon,other,dragon,tower_bot,BLUE,1,0,1,5,0.6,3.78,1,1,0,2,0.5,4.43,RED
37170,dragon,first_blood,other,dragon,other,BLUE,1,0,2,4,0.75,3.56,1,0,0,5,0.2,10.67,BLUE
37171,first_blood,dragon,other,dragon,other,RED,2,0,0,1,1.0,9.0,0,0,2,3,0.67,1.56,BLUE
37172,first_blood,dragon,other,tower_bot,other,RED,0,0,1,1,0.0,25.0,1,1,1,4,0.75,4.67,RED
37173,dragon,first_blood,other,tower_bot,dragon,RED,1,1,1,2,0.5,3.67,1,0,0,0,0.0,0.0,RED
37174,dragon,first_blood,other,dragon,other,RED,0,0,1,2,0.5,2.4,2,0,1,0,0.0,0.0,RED
37175,first_blood,dragon,other,dragon,other,RED,0,0,0,5,0.6,13.0,2,0,2,2,0.0,2.4,BLUE
37177,first_blood,other,dragon,tower_bot,other,RED,1,1,0,4,0.5,4.75,0,0,2,7,0.71,2.52,BLUE
37178,first_blood,dragon,other,dragon,other,RED,1,0,2,4,0.75,1.92,1,0,0,1,0.0,3.0,RED
37179,first_blood,other,dragon,tower_bot,other,BLUE,0,1,2,2,0.5,1.5,1,0,0,3,0.33,1.62,BLUE
37180,first_blood,dragon,other,dragon,other,BLUE,1,0,1,1,1.0,9.0,1,0,1,1,1.0,1.67,RED
37181,other,first_blood,dragon,tower_bot,tower_bot,BLUE,0,1,0,0,0.0,0.0,1,1,1,1,1.0,3.0,RED
37182,first_blood,dragon,other,dragon,other,RED,1,0,2,0,0.0,0.0,1,0,0,2,0.5,4.2,BLUE
37183,first_blood,dragon,other,other,dragon,RED,1,0,2,2,0.0,1.0,1,0,0,2,1.0,4.0,RED
37184,first_blood,other,tower_bot,dragon,tower_bot,RED,1,1,0,1,1.0,10.0,0,1,1,4,0.5,1.4,BLUE
37185,first_blood,other,dragon,tower_bot,other,BLUE,0,1,2,1,1.0,4.67,1,0,0,0,0.0,0.0,BLUE
37186,first_blood,other,dragon,other,dragon,RED,0,0,2,6,0.67,3.0,2,0,0,4,0.0,11.33,BLUE
37187,first_blood,other,dragon,dragon,other,RED,0,0,2,0,0.0,0.0,2,0,0,0,0.0,0.0,BLUE
37188,first_blood,other,tower_bot,other,dragon,BLUE,0,1,0,2,1.0,4.0,1,0,2,5,0.4,14.5,BLUE
37189,first_blood,dragon,other,dragon,other,BLUE,2,0,2,2,0.5,4.2,0,0,0,5,0.6,13.0,BLUE
37190,dragon,other,first_blood,other,dragon,RED,1,0,0,3,0.67,5.8,1,0,2,4,0.25,58.0,RED
37191,first_blood,dragon,other,tower_bot,dragon,BLUE,1,0,0,0,0.0,0.0,1,1,1,1,1.0,8.0,BLUE
37192,first_blood,dragon,dragon,other,tower_bot,BLUE,1,1,1,3,0.67,15.0,1,0,0,2,0.0,2.86,BLUE
37193,first_blood,other,dragon,tower_bot,dragon,BLUE,2,0,0,1,1.0,8.0,0,1,1,1,0.0,4.0,BLUE
37194,dragon,first_blood,other,tower_bot,dragon,BLUE,0,0,1,1,0.0,13.0,2,1,0,1,1.0,1.2,RED
37195,first_blood,dragon,other,tower_bot,dragon,RED,1,1,1,1,1.0,19.0,1,0,0,0,0.0,0.0,RED
37196,dragon,other,dragon,first_blood,other,RED,1,0,0,2,0.5,2.8,1,0,2,3,1.0,9.0,RED
37197,first_blood,dragon,other,dragon,other,BLUE,0,0,2,0,0.0,0.0,2,0,0,1,0.0,15.0,RED
37198,first_blood,dragon,other,other,other,BLUE,0,0,3,3,0.33,32.0,1,0,0,3,0.33,2.25,BLUE
37199,first_blood,dragon,other,dragon,tower_bot,RED,1,1,0,0,0.0,0.0,1,0,1,3,0.67,3.67,RED
37200,first_blood,other,dragon,tower_bot,tower_bot,RED,1,1,1,0,0.0,0.0,0,1,0,0,0.0,0.0,RED
37201,first_blood,dragon,other,dragon,other,RED,0,0,1,2,1.0,3.29,2,0,1,4,0.75,1.27,RED
37202,first_blood,dragon,other,dragon,other,RED,1,0,2,1,1.0,2.75,1,0,0,6,0.5,2.82,BLUE
37203,dragon,other,first_blood,dragon,other,RED,2,0,0,0,0.0,0.0,0,0,2,1,1.0,16.0,RED
37204,first_blood,dragon,other,dragon,other,BLUE,0,0,0,1,0.0,2.0,2,0,2,3,0.33,6.17,RED
37205,first_blood,other,dragon,other,other,RED,1,0,0,0,0.0,0.0,0,0,3,1,0.0,4.5,RED
37206,first_blood,dragon,other,dragon,other,BLUE,2,0,2,6,0.5,2.5,0,0,0,5,0.2,7.43,BLUE
37247,dragon,first_blood,other,dragon,other,RED,1,0,1,2,1.0,14.0,1,0,1,2,0.0,2.5,BLUE
37248,first_blood,dragon,other,dragon,other,RED,1,0,1,4,0.25,5.38,1,0,1,1,1.0,2.17,RED
